Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Region,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Payment_Mode,Delivery_Type,Delivery_Time_Minutes,Rating
ORD00011,2024-10-28,CUST0284,Customer 118,Ahmedabad,Gujarat,West,P702,Toothpaste, snacks ,Britannia,2,138.99,0,277.98,181.08,96.9,UPI,Express,55,5
ORD00012,2024-04-19,CUST0277,Customer 68,New Delhi,Delhi,North,P840,Tomato,Fruits & Vegetables,HUL,2,266.79,10,480.22,360.5,119.72,UPI,Standard,36,3
ORD00013,2024-11-26,CUST0051,Customer 32,New Delhi,Delhi,North,P512,Cookies,Snacks,Blinkit Fresh,7,244.17,0,1709.19,1285.33,423.86,UPI,Express,22,3
ORD00014,2024-10-08,CUST0051,Customer 26,Mumbai,Maharashtra,West,P767,Butter,Dairy,Amul,8,139.91,0,1119.28,764.4,354.88,UPI,Express,20,4
ORD00015,2024-08-20,CUST0147,Customer 217,Ahmedabad,Gujarat,West,P813,Tea,Beverages,HUL,3,201.91,15,514.87,324.14,190.73,UPI,Express,28,3
ORD00016,2024-09-17,CUST0042,Customer 436,New Delhi,Delhi,North,P290,Banana,Fruits & Vegetables,Nestle,8,261.37,20,1672.77,999.03,673.74,Cash,Express,53,3
ORD00017,2024-10-16,CUST0268,Customer 162,Mumbai,Maharashtra,West,P367,Cleaner,Household,Britannia,1,317.3,15,269.7,201.52,68.18,Cash,Standard,25,4
ORD00018,2024-02-21,CUST0038,Customer 276,Mumbai,Maharashtra,West,P318,Juice,Beverages,Parle,2,24.47,20,39.15,33.26,5.89,UPI,Standard,14,3
ORD00019,2024-10-10,CUST0154,Customer 478,Bhubaneswar,Odisha,East,P779,Energy Drink,Beverages,Nestle,5,313.61,20,1254.44,692.89,561.55,UPI,Standard,17,3
ORD00020,2024-05-08,CUST0464,Customer 465,Hyderabad,Telangana,South,P966,Soap,Household,Amul,6,117.73,10,635.74,446.05,189.69,UPI,Standard,27,3
ORD00021,2024-02-27,CUST0039,,Ludhiana,Punjab,North,P807,Biscuits,Snacks,ITC,8,284.81,15,1936.71,1391.08,545.63,Cash,Express,33,5
ORD00022,2024-04-17,CUST0350,Customer 128,Hyderabad,Telangana,South,P782,Tomato,Fruits & Vegetables,Nestle,6,451.51,0,2709.06,2220.56,488.5,Card,Standard,49,5
ORD00023,2024-07-29,CUST0411,Customer 343,Bengaluru,Karnataka,South,P984,Paneer,Dairy,Britannia,1,106.09,10,95.48,74.92,20.56,Card,Express,60,5
ORD00024,2024-04-26,CUST0115,Customer 13,Ludhiana,Punjab,North,P775,Coffee,Beverages,Britannia,4,411.96,15,1400.66,917.29,483.37,Card,Standard,27,3
ORD00025,2024-05-15,CUST0020,Customer 56,Bhubaneswar,Odisha,East,P710,Shampoo,Household,Tata,1,75.36,10,67.82,40.93,26.89,Card,Standard,37,5
ORD00026,2024-12-09,CUST0101,Customer 187,Ludhiana,Punjab,North,P541,Chips,Snacks,Nestle,7,20.81,20,116.54,88.11,28.43,Cash,Standard,49,4
ORD00027,2024-08-03,CUST0341,Customer 482,Ludhiana,Punjab,North,P488,Juice,Beverages,ITC,7,354.66,20,1986.1,1168.2,817.9,Cash,Standard,35,5
ORD00028,2024-09-18,CUST0243,Customer 407,Ludhiana,Punjab,North,P915,Paneer,Dairy,ITC,6,243.19,15,1240.27,933.54,306.73,Cash,Express,28,5
ORD00029,2024-08-31,CUST0313,Customer 436,Kolkata,West Bengal,East,P886,Biscuits,Snacks,Nestle,4,90.73,0,362.92,226.26,136.66,Card,Standard,50,5
ORD00030,2024-02-24,CUST0399,Customer 218,Hyderabad,Telangana,South,P324,Coffee,Beverages,ITC,3,334.91,0,1004.73,821.67,183.06,Cash,Standard,13,5
ORD00031,2024-09-15,CUST0219,Customer 426,Bengaluru,Karnataka,South,P661,Paneer,Dairy,HUL,6,476.02,15,,1781.44,646.26,UPI,Standard,38,4
ORD00032,2024-06-20,CUST0164,Customer 458,Hyderabad,Telangana,South,P653,Butter,Dairy,Nestle,8,57.19,10,411.77,255.44,156.33,UPI,Express,24,4
ORD00033,2024-08-03,CUST0200,Customer 464,Bengaluru,Karnataka,South,P888,Soft Drink,Beverages,Amul,6,280.45,15,1430.29,813.38,616.91,Cash,Standard,40,3
ORD00034,2024-01-15,CUST0200,Customer 173,Bhubaneswar,Odisha,East,P784,Energy Drink,Beverages,Tata,4,254.35,10,915.66,623.34,292.32,Cash,Express,39,3
ORD00035,2024-07-13,CUST0168,Customer 109,Ludhiana,Punjab,North,P565,Potato,Fruits & Vegetables,Blinkit Fresh,3,436.09,5,1242.86,702.32,540.54,Card,Standard,27,4
ORD00036,2024-02-05,CUST0400,Customer 491,Kolkata,West Bengal,East,P767,Onion,Fruits & Vegetables,Amul,1,499.96,10,449.96,277.75,172.21,UPI,Express,22,3
ORD00037,2024-03-26,CUST0311,Customer 311,Bengaluru,Karnataka,South,P865,Tea,Beverages,Nestle,4,243.22,10,875.59,683.02,192.57,UPI,Standard,16,5
ORD00038,2024-06-03,CUST0436,Customer 351,Ludhiana,Punjab,North,P714,Coffee,Beverages,Nestle,2,304.21,5,578.0,335.57,242.43,Cash,Express,32,5
ORD00039,2024-07-04,CUST0326,Customer 457,Ahmedabad,Gujarat,West,P948,Shampoo,Household,HUL,1,427.8,15,363.63,211.51,152.12,Cash,Express,37,3
ORD00040,2024-02-14,CUST0143,Customer 452,Bhubaneswar,Odisha,East,P561,Energy Drink,Beverages,Britannia,5,174.71,5,829.87,663.25,166.62,Card,Standard,31,3
ORD00041,2024-11-01,CUST0360,Customer 451,Ahmedabad,Gujarat,West,P382,Coffee,Beverages,Amul,6,402.96,10,2175.98,1379.35,796.63,Cash,Express,15,3
ORD00042,2024-07-26,CUST0355,Customer 125,Ahmedabad,Gujarat,West,P413,Soft Drink,Beverages,Blinkit Fresh,8,400.61,0,3204.88,2045.58,1159.3,Card,Standard,37,5
ORD00043,2024-10-01,CUST0487,Customer 391,Bhubaneswar,Odisha,East,P806,Namkeen,Snacks,ITC,5,130.66,5,620.63,400.1,220.53,UPI,Express,57,4
ORD00044,2024-09-30,CUST0065,Customer 141,Bhubaneswar,Odisha,East,P146,Butter,Dairy,Amul,4,193.22,10,695.59,385.53,310.06,Cash,Standard,54,3
ORD00045,2024-01-27,CUST0130,Customer 482,Mumbai,Maharashtra,West,P982,Shampoo,Household,HUL,8,249.78,10,1798.42,1088.6,709.82,UPI,Express,35,4
ORD00046,2024-08-01,CUST0311,Customer 306,New Delhi,Delhi,North,P909,Cheese,Dairy,Britannia,5,60.89,5,289.23,169.35,119.88,Cash,Standard,38,4
ORD00047,2024-04-16,CUST0321,Customer 109,Bhubaneswar,Odisha,East,P370,Cleaner,Household,Nestle,1,312.62,0,312.62,260.81,51.81,UPI,Express,21,5
ORD00048,2024-05-24,CUST0360,Customer 441,New Delhi,Delhi,North,P564,Soft Drink,Beverages,Nestle,8,159.8,5,1214.48,772.93,441.55,Cash,Express,26,5
ORD00049,2024-03-25,CUST0406,Customer 158,Hyderabad,Telangana,South,P709,Soap,Household,Parle,3,456.04,5,1299.71,742.68,557.03,Card,Express,39,5
ORD00050,2024-08-09,CUST0377,Customer 166,Bhubaneswar,Odisha,East,P718,Cleaner,Household,Parle,8,230.12,20,1472.77,827.64,645.13,UPI,Express,24,5
ORD00051,2024-08-11,CUST0326,Customer 417,Ludhiana,Punjab,North,P603,Paneer,Dairy,Nestle,8,459.71,5,3493.8,2966.53,527.27,Card,Standard,36,4
ORD00052,2024-10-08,CUST0019,Customer 233,Kolkata,West Bengal,East,P190,Cookies,Snacks,Blinkit Fresh,8,158.34,15,1076.71,854.98,221.73,Card,Standard,17,4
ORD00053,2024-01-27,CUST0105,Customer 137,Ludhiana,Punjab,North,P662,Apple,Fruits & Vegetables,ITC,6,318.86,15,1626.19,1199.51,426.68,Card,Standard,54,4
ORD00054,2024-02-28,CUST0237,Customer 485,New Delhi,Delhi,North,P220,Butter,Dairy,ITC,1,285.08,0,285.08,176.01,109.07,Card,Standard,42,5
ORD00055,2024-11-02,CUST0261,Customer 383,Bhubaneswar,Odisha,East,P239,Coffee,Beverages,Nestle,8,284.61,15,1935.35,1175.11,760.24,Card,Standard,31,5
ORD00056,2024-06-25,CUST0171,Customer 283,Kolkata,West Bengal,East,P881,Popcorn,Snacks,Tata,8,435.33,15,2960.24,2106.43,853.81,Card,Standard,22,5
ORD00057,2024-12-05,CUST0406,Customer 421,Hyderabad,Telangana,South,P767,Tea,Beverages,ITC,6,377.46,15,1925.05,1281.74,643.31,Card,Express,18,5
ORD00058,2024-12-01,CUST0497,Customer 80,Kolkata,West Bengal,East,P176,Onion,Fruits & Vegetables,HUL,8,27.37,5,208.01,139.99,68.02,Card,Standard,49,5
ORD00059,2024-01-19,CUST0317,Customer 36,Mumbai,Maharashtra,West,P340,Toothpaste,Household,Parle,6,320.86,15,1636.39,1328.28,308.11,UPI,Express,37,3
ORD00060,2024-07-10,CUST0221,Customer 75,Ludhiana,Punjab,North,P350,Chips,Snacks,Tata,1,175.7,0,175.7,112.1,63.6,Cash,Express,20,3
ORD00061,2024-12-07,CUST0005,Customer 461,Ludhiana,Punjab,North,P923,Energy Drink,Beverages,HUL,3,131.45,10,354.91,244.13,110.78,Card,Express,14,4
ORD00062,2024-02-24,CUST0122,Customer 196,Bhubaneswar,Odisha,East,P685,Cookies,Snacks,Blinkit Fresh,5,115.62,15,491.38,396.05,95.33,Cash,Standard,54,4
ORD00063,2024-05-26,CUST0398,Customer 410,Ludhiana,Punjab,North,P335,Onion,Fruits & Vegetables,Blinkit Fresh,1,457.1,15,388.54,310.77,77.77,UPI,Express,49,4
ORD00064,2024-05-31,CUST0168,Customer 383,Bengaluru,Karnataka,South,P525,Cookies,Snacks,ITC,1,298.2,5,283.29,163.47,119.82,UPI,Express,60,5
ORD00065,2024-08-27,CUST0494,Customer 39,Bhubaneswar,Odisha,East,P244,Cookies,Snacks,Britannia,5,378.35,10,1702.58,1347.2,355.38,Cash,Standard,45,4
ORD00066,2024-11-22,CUST0482,Customer 191,Ludhiana,Punjab,North,P210,Popcorn,Snacks,Britannia,2,238.3,10,428.94,311.14,117.8,Card,Express,49,5
ORD00067,2024-06-04,CUST0253,Customer 60,Kolkata,West Bengal,East,P199,Juice,Beverages,Britannia,7,76.0,0,532.0,443.62,88.38,Cash,Express,34,4
ORD00068,2024-07-08,CUST0112,Customer 228,Bhubaneswar,Odisha,East,P555,Tea,Beverages,Britannia,8,315.51,10,2271.67,1271.71,999.96,Card,Express,53,4
ORD00069,2024-04-18,CUST0329,Customer 328,Kolkata,West Bengal,East,P711,Biscuits,Snacks,Amul,2,475.53,15,808.4,466.85,341.55,UPI,Standard,25,3
ORD00070,2024-11-01,CUST0002,Customer 142,Bengaluru,Karnataka,South,P979,Soap,Household,ITC,4,177.71,5,675.3,531.19,144.11,UPI,Standard,21,3
ORD00071,2024-08-03,CUST0270,Customer 59,New Delhi,Delhi,North,P863,Biscuits,Snacks,Nestle,6,27.57,10,148.88,84.22,64.66,Card,Standard,59,4
ORD00072,2024-09-02,CUST0434,Customer 206,Ludhiana,Punjab,North,P536,Detergent,Household,Nestle,5,239.86,0,1199.3,681.5,517.8,Card,Standard,14,3
ORD00073,2024-08-20,CUST0259,Customer 310,Kolkata,West Bengal,East,P540,Butter,Dairy,Nestle,6,202.83,20,973.58,690.43,283.15,Cash,Express,51,5
ORD00074,2024-02-18,CUST0161,Customer 219,Hyderabad,Telangana,South,P420,Paneer,Dairy,Parle,6,417.16,15,2127.52,1435.64,691.88,Card,Express,53,4
ORD00075,2024-10-11,CUST0031,Customer 301,New Delhi,Delhi,North,P675,Potato,Fruits & Vegetables,Blinkit Fresh,2,377.4,10,679.32,539.06,140.26,Cash,Express,36,4
ORD00076,2024-12-02,CUST0247,Customer 115,Mumbai,Maharashtra,West,P967,Shampoo,Household,Nestle,6,69.73,20,334.7,205.45,129.25,Card,Standard,17,4
ORD00077,2024-06-28,CUST0004,Customer 93,Hyderabad,Telangana,South,P990,Shampoo,Household,ITC,1,106.6,10,95.94,79.29,16.65,Cash,Standard,14,3
ORD00078,2024-06-15,CUST0398,Customer 483,New Delhi,Delhi,North,P681,Soft Drink,Beverages,Nestle,8,183.63,10,1322.14,850.79,471.35,UPI,Express,20,5
ORD00079,2024-09-19,CUST0059,Customer 177,New Delhi,Delhi,North,P540,Soft Drink,Beverages,Nestle,8,311.4,15,2117.52,1338.17,779.35,Card,Standard,43,5
ORD00080,2024-03-11,CUST0392,Customer 131,Kolkata,West Bengal,East,P396,Energy Drink,Beverages,Blinkit Fresh,1,23.69,10,21.32,17.77,3.55,UPI,Express,41,5
ORD00081,2024-01-22,CUST0224,Customer 10,Mumbai,Maharashtra,West,P570,Energy Drink,Beverages,Nestle,4,260.13,10,936.47,535.31,401.16,Card,Standard,46,4
ORD00082,2024-12-19,CUST0471,Customer 186,Ahmedabad,Gujarat,West,P190,Tea,Beverages,Tata,6,102.5,20,492.0,338.51,153.49,UPI,Express,37,5
ORD00083,2024-11-20,CUST0059,Customer 272,Mumbai,Maharashtra,West,P622,Namkeen,Snacks,Britannia,4,179.87,5,683.51,391.59,291.92,Card,Standard,56,5
ORD00084,2024-12-01,CUST0039,Customer 91,Bengaluru,Karnataka,South,P891,Butter,Dairy,HUL,4,103.28,5,392.46,305.36,87.1,Card,Standard,53,5
ORD00085,2024-10-29,CUST0029,Customer 181,Bhubaneswar,Odisha,East,P619,Tea,Beverages,Nestle,8,232.26,10,1672.27,1319.25,353.02,Card,Standard,38,3
ORD00086,2024-01-22,CUST0231,Customer 466,Ludhiana,Punjab,North,P929,Banana,Fruits & Vegetables,Britannia,7,242.1,20,1355.76,1133.78,221.98,Card,Standard,42,3
ORD00087,2024-09-25,CUST0268,Customer 313,Ludhiana,Punjab,North,P262,Chips,Snacks,Blinkit Fresh,3,38.79,15,98.91,83.81,15.1,Card,Standard,34,4
ORD00088,2024-12-02,CUST0494,Customer 465,Kolkata,West Bengal,East,P717,Tomato,Fruits & Vegetables,ITC,2,287.82,15,489.29,310.82,178.47,Card,Express,47,5
ORD00089,2024-06-17,CUST0417,Customer 66,Hyderabad,Telangana,South,P786,Coffee,Beverages,Nestle,2,168.6,15,286.62,212.97,73.65,Cash,Standard,42,4
ORD00090,2024-03-11,CUST0080,Customer 40,Ludhiana,Punjab,North,P402,Curd,Dairy,Nestle,6,474.88,15,2421.89,1471.54,950.35,Cash,Express,52,4
ORD00091,2024-12-12,CUST0369,Customer 122,Hyderabad,Telangana,South,P554,Curd,Dairy,Parle,3,366.17,0,1098.51,739.58,358.93,Cash,Standard,24,5
ORD00092,2024-09-14,CUST0271,Customer 215,Hyderabad,Telangana,South,P265,Butter,Dairy,Britannia,8,241.61,10,1739.59,1362.86,376.73,Cash,Express,26,3
ORD00093,2024-09-19,CUST0076,Customer 426,Ahmedabad,Gujarat,West,P547,Detergent,Household,Nestle,5,60.26,5,286.24,180.86,105.38,UPI,Standard,32,3
ORD00094,2024-01-15,CUST0164,Customer 477,Mumbai,Maharashtra,West,P201,Shampoo,Household,Blinkit Fresh,4,205.36,0,821.44,544.18,277.26,UPI,Express,12,4
ORD00095,2024-03-17,CUST0281,Customer 482,Mumbai,Maharashtra,West,P844,Energy Drink,Beverages,Tata,1,454.81,0,454.81,285.06,169.75,UPI,Standard,25,4
ORD00096,2024-01-09,CUST0324,Customer 264,New Delhi,Delhi,North,P688,Energy Drink,Beverages,Britannia,8,50.15,15,341.02,248.61,92.41,Cash,Express,28,4
ORD00097,2024-07-03,CUST0035,Customer 489,Ludhiana,Punjab,North,P638,Toothpaste,Household,Amul,3,338.9,0,1016.7,718.85,297.85,Card,Standard,12,5
ORD00098,2024-06-19,CUST0069,Customer 23,Ahmedabad,Gujarat,West,P460,Tomato,Fruits & Vegetables,Blinkit Fresh,2,185.51,0,371.02,289.93,81.09,Cash,Express,59,5
ORD00099,2024-04-12,CUST0454,Customer 22,Ahmedabad,Gujarat,West,P423,Milk,Dairy,Parle,8,37.75,5,286.9,161.57,125.33,Cash,Standard,44,4
ORD00100,2024-07-07,CUST0224,Customer 456,Kolkata,West Bengal,East,P509,Namkeen,Snacks,HUL,1,435.58,10,392.02,247.74,144.28,Card,Standard,21,4
ORD00101,2024-06-13,CUST0053,Customer 41,Ahmedabad,Gujarat,West,P435,Potato,Fruits & Vegetables,Parle,2,226.69,5,430.71,307.37,123.34,Card,Standard,48,5
ORD00102,2024-08-10,CUST0141,Customer 328,Mumbai,Maharashtra,West,P910,Cookies,Snacks,Amul,1,368.87,10,331.98,243.82,88.16,UPI,Standard,33,5
ORD00103,2024-07-06,CUST0186,Customer 197,Bengaluru,Karnataka,South,P680,Toothpaste,Household,Amul,1,80.59,5,76.56,59.99,16.57,Cash,Express,53,4
ORD00104,2024-05-22,CUST0128,Customer 492,Bhubaneswar,Odisha,East,P216,Onion,Fruits & Vegetables,Amul,3,274.14,15,699.06,450.42,248.64,Cash,Express,41,5
ORD00105,2024-09-08,CUST0103,Customer 63,Mumbai,Maharashtra,West,P238,Cookies,Snacks,Nestle,4,498.26,10,1793.74,1360.0,433.74,Card,Express,55,4
ORD00106,2024-12-24,CUST0327,Customer 90,Ludhiana,Punjab,North,P912,Onion,Fruits & Vegetables,Blinkit Fresh,5,447.84,5,2127.24,1624.24,503.0,Cash,Express,17,3
ORD00107,2024-02-14,CUST0034,Customer 159,Bengaluru,Karnataka,South,P507,Tomato,Fruits & Vegetables,HUL,6,244.35,20,1172.88,690.75,482.13,Cash,Standard,59,4
ORD00108,2024-10-09,CUST0328,Customer 301,New Delhi,Delhi,North,P286,Potato,Fruits & Vegetables,ITC,8,346.45,10,2494.44,1467.98,1026.46,Card,Express,17,5
ORD00109,2024-02-10,CUST0129,Customer 101,Hyderabad,Telangana,South,P750,Butter,Dairy,Parle,4,186.09,20,595.49,487.4,108.09,UPI,Standard,49,5
ORD00110,2024-01-15,CUST0042,Customer 24,New Delhi,Delhi,North,P756,Cheese,Dairy,Parle,6,424.41,20,2037.17,1145.62,891.55,Cash,Express,59,5
ORD00111,2024-02-07,CUST0353,Customer 31,Mumbai,Maharashtra,West,P261,Shampoo,Household,HUL,5,251.81,15,1070.19,684.1,386.09,Card,Standard,39,3
ORD00112,2024-02-24,CUST0164,Customer 124,Kolkata,West Bengal,East,P577,Namkeen,Snacks,Nestle,7,82.77,10,521.45,367.36,154.09,Card,Standard,25,3
ORD00113,2024-10-22,CUST0370,Customer 161,New Delhi,Delhi,North,P294,Energy Drink,Beverages,ITC,7,139.17,5,925.48,734.87,190.61,Card,Standard,41,4
ORD00114,2024-01-25,CUST0026,Customer 145,Mumbai,Maharashtra,West,P606,Energy Drink,Beverages,HUL,8,484.01,5,3678.48,2666.91,1011.57,Card,Express,16,4
ORD00115,2024-07-04,CUST0284,Customer 148,Hyderabad,Telangana,South,P175,Juice,Beverages,Tata,1,212.28,20,169.82,122.02,47.8,Cash,Standard,58,5
ORD00116,2024-07-06,CUST0387,Customer 74,Kolkata,West Bengal,East,P303,Potato,Fruits & Vegetables,Tata,6,401.55,10,2168.37,1555.48,612.89,Cash,Express,12,3
ORD00117,2024-11-09,CUST0164,Customer 84,Hyderabad,Telangana,South,P502,Toothpaste,Household,Parle,3,311.01,20,746.42,441.83,304.59,Cash,Standard,42,5
ORD00118,2024-12-18,CUST0323,Customer 14,Ahmedabad,Gujarat,West,P711,Tomato,Fruits & Vegetables,HUL,6,343.43,15,1751.49,1270.02,481.47,Card,Express,56,3
ORD00119,2024-08-13,CUST0161,Customer 215,Mumbai,Maharashtra,West,P255,Curd,Dairy,Tata,1,294.83,0,294.83,179.03,115.8,Cash,Express,36,5
ORD00120,2024-06-09,CUST0490,Customer 89,Mumbai,Maharashtra,West,P570,Soap,Household,Blinkit Fresh,6,499.1,15,2545.41,1801.24,744.17,Cash,Standard,53,5
ORD00121,2024-12-26,CUST0107,Customer 354,Bhubaneswar,Odisha,East,P821,Butter,Dairy,HUL,5,127.94,10,575.73,449.85,125.88,Card,Standard,32,5
ORD00122,2024-03-15,CUST0149,Customer 22,Bhubaneswar,Odisha,East,P394,Cleaner,Household,Nestle,7,449.97,15,2677.32,2129.84,547.48,Card,Standard,51,4
ORD00123,2024-05-02,CUST0125,Customer 26,Mumbai,Maharashtra,West,P785,Shampoo,Household,Britannia,5,85.89,20,343.56,265.32,78.24,Cash,Express,13,3
ORD00124,2024-08-31,CUST0245,Customer 334,Ahmedabad,Gujarat,West,P304,Apple,Fruits & Vegetables,Parle,1,482.97,5,458.82,308.36,150.46,Card,Standard,51,3
ORD00125,2024-07-22,CUST0404,Customer 254,New Delhi,Delhi,North,P290,Paneer,Dairy,Parle,3,468.28,0,1404.84,1192.92,211.92,UPI,Express,29,5
ORD00126,2024-08-27,CUST0140,Customer 99,Ludhiana,Punjab,North,P928,Energy Drink,Beverages,Nestle,8,446.84,5,3395.98,2734.84,661.14,Card,Express,56,4
ORD00127,2024-09-20,CUST0168,Customer 45,Kolkata,West Bengal,East,P510,Namkeen,Snacks,Nestle,4,104.24,15,354.42,282.86,71.56,UPI,Express,40,4
ORD00128,2024-10-20,CUST0006,Customer 134,Bengaluru,Karnataka,South,P769,Coffee,Beverages,Blinkit Fresh,8,381.8,10,2748.96,1760.94,988.02,Cash,Express,13,5
ORD00129,2024-04-23,CUST0113,Customer 491,Ludhiana,Punjab,North,P236,Paneer,Dairy,HUL,5,351.34,10,1581.03,1043.9,537.13,UPI,Standard,57,5
ORD00130,2024-02-11,CUST0270,Customer 229,Bhubaneswar,Odisha,East,P640,Soap,Household,Blinkit Fresh,4,346.56,20,1108.99,900.43,208.56,UPI,Express,13,5
ORD00131,2024-09-07,CUST0047,Customer 461,Bengaluru,Karnataka,South,P622,Popcorn,Snacks,HUL,8,75.8,5,576.08,440.74,135.34,UPI,Standard,18,5
ORD00132,2024-01-02,CUST0382,Customer 112,Ahmedabad,Gujarat,West,P692,Toothpaste,Household,Nestle,5,367.17,15,1560.47,977.38,583.09,UPI,Standard,32,5
ORD00133,2024-11-26,CUST0494,Customer 216,New Delhi,Delhi,North,P483,Tea,Beverages,Tata,5,216.26,5,1027.23,800.98,226.25,Card,Standard,34,3
ORD00134,2024-01-12,CUST0153,Customer 238,Hyderabad,Telangana,South,P789,Cheese,Dairy,Tata,7,273.84,5,1821.04,1457.65,363.39,Cash,Standard,24,3
ORD00135,2024-01-09,CUST0124,Customer 106,Ahmedabad,Gujarat,West,P168,Biscuits,Snacks,Nestle,2,35.46,15,60.28,44.27,16.01,Cash,Express,38,5
ORD00136,2024-05-28,CUST0120,Customer 418,New Delhi,Delhi,North,P849,Soft Drink,Beverages,Blinkit Fresh,4,279.08,0,1116.32,660.91,455.41,Cash,Standard,25,4
ORD00137,2024-03-30,CUST0321,Customer 348,Bengaluru,Karnataka,South,P537,Namkeen,Snacks,HUL,1,287.22,20,229.78,187.02,42.76,UPI,Standard,51,5
ORD00138,2024-04-25,CUST0154,Customer 440,Ahmedabad,Gujarat,West,P824,Coffee,Beverages,ITC,5,200.7,20,802.8,555.58,247.22,Card,Express,45,4
ORD00139,2024-07-08,CUST0048,Customer 275,Mumbai,Maharashtra,West,P841,Butter,Dairy,Britannia,4,178.53,0,714.12,590.34,123.78,UPI,Standard,34,5
ORD00140,2024-01-08,CUST0109,Customer 480,New Delhi,Delhi,North,P294,Cleaner,Household,Nestle,4,250.11,10,900.4,577.12,323.28,Cash,Standard,25,5
ORD00141,2024-06-06,CUST0134,Customer 185,Hyderabad,Telangana,South,P625,Shampoo,Household,HUL,5,202.72,20,810.88,603.79,207.09,Card,Express,56,4
ORD00142,2024-01-09,CUST0134,Customer 284,Kolkata,West Bengal,East,P698,Cookies,Snacks,Tata,1,290.01,5,275.51,212.8,62.71,Card,Express,22,4
ORD00143,2024-11-24,CUST0379,Customer 252,Hyderabad,Telangana,South,P571,Energy Drink,Beverages,ITC,6,143.52,15,731.95,614.8,117.15,Cash,Standard,20,3
ORD00144,2024-07-30,CUST0071,Customer 432,Mumbai,Maharashtra,West,P745,Detergent,Household,Britannia,2,473.69,0,947.38,738.29,209.09,UPI,Express,10,3
ORD00145,2024-10-09,CUST0211,Customer 7,Ahmedabad,Gujarat,West,P117,Cleaner,Household,Parle,8,336.46,0,2691.68,1485.76,1205.92,Cash,Standard,11,5
ORD00146,2024-06-30,CUST0137,Customer 408,Mumbai,Maharashtra,West,P506,Onion,Fruits & Vegetables,Nestle,3,135.67,20,325.61,230.51,95.1,Card,Standard,39,5
ORD00147,2024-01-29,CUST0327,Customer 5,Bengaluru,Karnataka,South,P819,Banana,Fruits & Vegetables,ITC,2,214.53,15,364.7,261.06,103.64,UPI,Standard,37,5
ORD00148,2024-05-23,CUST0461,Customer 279,Kolkata,West Bengal,East,P677,Curd,Dairy,Amul,8,150.13,0,1201.04,907.18,293.86,UPI,Standard,11,3
ORD00149,2024-10-03,CUST0170,Customer 197,Hyderabad,Telangana,South,P873,Biscuits,Snacks,ITC,4,292.01,15,992.83,747.71,245.12,Cash,Express,42,5
ORD00150,2024-07-22,CUST0497,Customer 397,Kolkata,West Bengal,East,P434,Coffee,Beverages,Amul,2,183.48,20,293.57,245.56,48.01,Cash,Standard,60,4
ORD00151,2024-02-13,CUST0396,Customer 317,Mumbai,Maharashtra,West,P402,Toothpaste,Household,Britannia,7,109.15,20,611.24,457.33,153.91,Cash,Express,15,4
ORD00152,2024-08-15,CUST0185,Customer 390,Hyderabad,Telangana,South,P376,Juice,Beverages,Nestle,6,71.14,0,426.84,355.51,71.33,UPI,Express,21,4
